location,subject,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,year
Белгород,Белгородская область,-6.5,-5.8,-0.6,8.5,15.2,18.4,20.3,19.4,13.5,7,0.3,-4.3,7.1
Брянск,Брянская область,-7.3,-6.4,-1.1,7.2,13.9,17,18.6,17.4,11.9,5.6,-0.3,-4.7,6
Бабушкин,Республика Бурятия,-15.3,-15.7,-8.6,-0.2,6.1,11.2,15.1,14.7,9.2,2.7,-4.3,-9.1,0.5
Багдарин,Республика Бурятия,-28.6,-23.7,-14.1,-2.7,6.1,13.1,15.8,12.9,5.4,-4.9,-18.2,-26.9,-5.5
Баргузин,Республика Бурятия,-27.4,-22.3,-10.5,0.6,8.6,15.8,18.7,16.2,8.7,-0.5,-12,-22.2,-2.2
Кяхта,Республика Бурятия,-20.5,-16.3,-6.8,2.8,10.4,16.7,19,16.5,9.5,1,-9.4,-17.7,0.4
Монды,Республика Бурятия,-19.6,-16.9,-9.6,-0.2,6.9,12.4,14.5,12.3,6.1,-1.3,-10.9,-16.9,-1.9
Нижнеангарск,Республика Бурятия,-21.8,-20.2,-12.3,-2.2,5.3,12.4,16.5,15.2,8.4,-0.6,-10.7,-17.1,-2.2
Сосново-Озерское,Республика Бурятия,-24,-20.1,-11.8,-1.9,5.6,14.1,16.8,14.1,6.9,-2.2,-13.1,-20.6,-3
Уакит,Республика Бурятия,-28.2,-23.8,-15.2,-4.8,4.2,11.9,14.9,12.1,4.5,-5.9,-18.2,-26.4,-6.2
Улан-Удэ,Республика Бурятия,-23.6,-18.8,-7.8,2.4,10.3,17.2,19.8,17,9.5,0.4,-10.6,-19.6,-0.3
Хоринск,Республика Бурятия,-25.9,-20.5,-9.5,1,9.2,16.5,18.8,16,8.4,-1.1,-12.1,-21.5,-1.7
Владимир,Владимирская область,-9.6,-8.5,-2.6,5.7,12.9,16.6,18.7,16.8,10.9,4.4,-2.2,-7,4.7
Муром,Владимирская область,-9.8,-9.1,-3,6.2,13.3,17,19.1,17.1,11.2,4.6,-2.1,-7.1,4.8
Волгоград,Волгоградская область,-6.9,-6.4,-0.3,10.2,17.2,21.7,24.2,23,16.4,8.4,1.1,-4.2,8.7
Камышин,Волгоградская область,-8.7,-8.3,-2.4,8.7,16.4,20.9,23.2,21.6,15.4,7.2,-0.2,-5.9,7.3
Котельниково,Волгоградская область,-6.2,-5.9,-0.1,9.8,16.9,21.5,24.2,22.9,16.4,8.6,1.9,-3.2,8.9
Новоаннинский,Волгоградская область,-7.9,-7.6,-1.5,9,16.1,19.9,21.9,20.7,14.5,7,0.2,-5.1,7.3
Эльтон,Волгоградская область,-8.2,-7.9,-0.9,10.2,17.8,22.7,25.2,23.7,16.7,8.1,0.6,-5.2,8.6
Бабаево,Вологодская область,-10.4,-9.3,-3.6,3.3,10.5,14.9,17.3,15,9.4,3.4,-2.5,-7.2,3.4
Вологда,Вологодская область,-11.6,-10.2,-4.2,3.4,10.7,15,17.4,15,9.3,3.1,-3.2,-8.2,3
Вытегра,Вологодская область,-10.7,-9.6,-3.9,2.7,9.5,14.4,17.3,15,9.7,3.7,-2.3,-7.1,3.2
Никольск,Вологодская область,-13.1,-11.2,-4.5,3.1,10.2,15,17.5,14.8,9,2.3,-4.3,-9.7,2.4
Тотьма,Вологодская область,-12.6,-10.7,-4.2,2.9,10.1,14.7,17.4,14.6,8.9,2.5,-4,-9.2,2.5
Воронеж,Воронежская область,-7.4,-7,-1.3,8.4,15.3,18.5,20.4,19.2,13.3,6.6,0,-4.8,6.8
Дербент,Республика Дагестан,2.6,2.3,5.2,10.5,16.6,22,25.2,25,20.6,14.6,9.1,4.9,13.2
Махачкала,Республика Дагестан,0.6,0.9,4.6,10.4,16.5,21.8,24.7,24.5,20,13.7,7.7,3,12.4
Терекли-Мектеб,Республика Дагестан,-1.8,-1.1,4,11.1,17.7,22.7,25.3,24.4,19,11.9,5.6,0.9,11.6
Биробиджан,Еврейская автономная область,-22.3,-16.6,-6.7,4.4,12.1,18.1,21,19.5,12.8,3.9,-8.6,-20,1.5
Екатерино-Никольское,Еврейская автономная область,-19.7,-15.2,-5.9,4.9,12.7,18.2,21.5,19.8,13.3,4.3,-7.7,-17.7,2.4
Облучье,Еврейская автономная область,-25.6,-20.3,-9.8,2.8,10.9,16.9,20,17.9,10.9,1.5,-12,-23.3,-0.8
