location,subject,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,year
Клепинино,Республика Крым,-0.7,0.4,5.1,10.3,16.9,21.5,24.4,24.1,18,11.7,6.3,1.9,11.7
Севастополь,Республика Крым,3.5,4.1,6,10.9,15.8,19.9,22.4,22.1,18.2,12.9,8.9,5.4,12.4
Симферополь,Республика Крым,0,0.7,4.2,10.3,15.4,19.6,22.3,21.9,17,11.2,6.4,2.3,11
Феодосия,Республика Крым,1.4,1.9,5.1,10.9,16.5,21.2,24.2,23.7,18.7,12.9,7.9,3.9,12.3
Ялта,Республика Крым,4.2,4.3,6.4,10.9,16.1,20.7,24,24,19.4,14.1,9.4,6.1,13.3
Курган,Курганская область,-16.6,-14.8,-6.7,4.9,12.6,17.9,19.6,16.9,11,3.2,-6.1,-13.4,2.4
Курск,Курская область,-7.3,-6.7,-1.3,7.7,14.6,17.7,19.4,18.6,12.8,6.2,-0.2,-4.8,6.4
Выборг,Ленинградская область,-7.7,-7.6,-3,2.8,10.2,15.2,18.1,16.3,10.9,5.1,0,-4.3,4.7
Новая Ладога,Ленинградская область,-8.2,-7.6,-2.6,3.8,10.5,15.2,17.8,16.1,10.9,5,-0.6,-4.9,4.7
Санкт-Петербург,Ленинградская область,-6.5,-6.1,-1.4,4.6,11.3,15.8,18.6,16.9,11.6,5.8,0.5,-3.6,5.6
Тихвин,Ленинградская область,-9.2,-8.1,-2.7,3.8,10.7,15.1,17.4,15.3,9.9,4,-1.6,-6.1,4
Липецк,Липецкая область,-8.6,-8.2,-2.5,7.3,14.6,17.8,19.7,18.4,12.6,5.7,-0.9,-5.8,5.8
Брохово,Магаданская область,-19.5,-19.2,-15.3,-8,0.1,7,12.4,12.4,7.9,-0.2,-10,-16.1,-4
Магадан,Магаданская область,-16.4,-15.5,-11.3,-4.8,1.7,7.6,11.6,12,7.4,-1.2,-10.2,-14.8,-2.8
Омсукчан,Магаданская область,-33.5,-31.2,-23.3,-11.7,1.6,10.8,13.9,10.5,3.3,-10.2,-25.4,-32.9,-10.7
Палатка,Магаданская область,-21.4,-19.9,-15,-6.7,3.1,10.4,13.5,11.7,5.4,-5,-15.3,-20.5,-5
Среднекан,Магаданская область,-35.9,-32.6,-23.5,-10,4.3,13.8,16.3,12.3,4.5,-10,-27,-35.2,-10.2
Сусуман,Магаданская область,-37.3,-33.4,-24.5,-11.6,2.9,11.8,14.4,10.6,2.5,-13.3,-29.4,-37.3,-12
Йошкар-Ола,Республика Марий Эл,-12.1,-11.2,-4.5,4.8,12.4,16.7,18.9,16.5,10.5,3.5,-3.4,-9,3.6
Саранск,Республика Мордовия,-10.4,-10,-4.1,5.8,13.7,17.3,19.4,17.7,11.7,4.5,-2.4,-7.8,4.8
Дмитров,Московская область,-8.9,-7.9,-2.1,5.7,12.6,16.2,18.3,16.4,10.7,4.5,-1.7,-6.2,4.8
Кашира,Московская область,-9.1,-8.3,-2.7,5.9,13.6,16.8,18.5,17.1,11.3,4.8,-1.4,-6,5
Можайск,Московская область,-8.5,-7.9,-2.2,5.8,12.5,16.1,18,16.3,10.7,4.8,-1.3,-5.8,4.9
Москва,Московская область,-7.8,-6.9,-1.3,6.5,13.3,17,19.1,17.1,11.3,5.2,-0.8,-5.2,5.6
Наро-Фоминск,Московская область,-8.6,-7.8,-2.2,5.7,12.7,16.1,18,16.3,10.7,4.7,-1.4,-5.9,4.9
Новомосковский АО,Московская область,-9.1,-8,-2.7,5.5,12.7,16,18.5,16.3,10.8,4.6,-1.1,-5.4,4.9
Троицкий АО,Московская область,-8.8,-8,-2.2,5.7,12.6,16.1,18,16.2,10.5,4.7,-1.3,-6,4.8
Черусти,Московская область,-9.4,-8.5,-2.5,5.8,12.9,16.5,18.4,16.4,10.8,4.6,-1.9,-6.6,4.7
Вайда-Губа,Мурманская область,-5.2,-5.7,-3.7,-0.9,3.2,7.3,10.9,10.3,7.3,2.6,-1.4,-3.4,1.8
Кандалакша,Мурманская область,-12.7,-12,-6.7,-1.2,4.9,11.2,14.7,12.3,7.1,1,-5.1,-9.4,0.3
Ковдор,Мурманская область,-12.7,-12,-7.1,-1.6,4.6,10.8,14,11.2,6.1,-0.4,-6.2,-9.9,-0.3
Краснощелье,Мурманская область,-13.8,-13.3,-8.5,-3.1,3.2,9.8,13.6,10.9,6.1,-0.2,-6.5,-10.2,-1
Ловозеро,Мурманская область,-13.8,-13.5,-8.5,-2.7,3.3,9.6,13.3,10.8,6.1,-0.3,-6.9,-10.4,-1.1
Мончегорск,Мурманская область,-12.4,-12,-7.2,-1.7,4.2,10.4,14.2,11.9,7.1,0.8,-5.6,-9.5,0
Мурманск,Мурманская область,-10.6,-10.1,-5.6,-1,4.1,9.3,13,11.2,7.1,1.1,-4.6,-8,0.5
Ниванкюль,Мурманская область,-12.7,-12.1,-6.8,-1.3,4.3,10.2,13.7,11.4,6.6,0.6,-5.7,-9.8,-0.1
Пялица,Мурманская область,-11.1,-11.3,-7.7,-3,2.3,7.2,10.8,9.9,6.9,2.1,-2.9,-6.9,-0.3
о. Сосновец,Мурманская область,-9.7,-9.9,-6.6,-3.3,1,5.3,8.7,9,7.1,2.2,-2.5,-5.8,-0.4
Териберка,Мурманская область,-7.7,-7.9,-5.1,-1.5,3,7.7,11.6,10.8,7.4,1.9,-2.9,-5.5,1
Умба,Мурманская область,-11.3,-11.1,-6.2,-1.1,4.7,10.9,14.6,12.5,7.8,1.7,-4,-7.9,0.8
Варандей,Ненецкий автономный округ,-18.1,-18.4,-13.9,-9.6,-2.9,3.8,9.7,9,5.4,-1.7,-9.3,-13.6,-5
Индига,Ненецкий автономный округ,-15.3,-14.5,-10.2,-6,0,6.1,10.7,9.7,6.5,0.4,-6.2,-10.6,-2.4
Канин Нос,Ненецкий автономный округ,-8.6,-9.5,-7,-4.4,-0.4,4.6,9,8.5,6.2,1.9,-2.1,-5.3,-0.6
Коткино,Ненецкий автономный округ,-18,-16.6,-10.4,-5.1,1.7,9.3,13.7,10.7,6.1,-1.1,-8.8,-13.2,-2.6
Нарьян-Мар,Ненецкий автономный округ,-17.9,-16.9,-11.1,-6.3,0.5,8.3,13.4,10.6,6,-1.3,-9.1,-13.3,-3.1
Ходовариха,Ненецкий автономный округ,-16.3,-16.5,-12.5,-8.9,-2.8,3.1,9,8.6,5.6,-0.5,-7.1,-11.5,-4.1
Хоседа-Хард,Ненецкий автономный округ,-20.8,-19.6,-13,-8,-0.3,8.6,13.2,9.9,5,-3.3,-11.8,-16.5,-4.7
Арзамас,Нижегородская область,-10.4,-9.9,-4.1,5.7,13.2,17,19.1,17.2,11.1,4.3,-2.4,-7.6,4.4
Выкса,Нижегородская область,-9.5,-8.7,-2.7,6.3,13.6,17.2,19.3,17.4,11.5,4.8,-1.8,-6.9,5
Нижний Новгород,Нижегородская область,-10.1,-9,-2.8,5.8,13.1,17,19.2,17.1,11.1,4.2,-2.4,-7.5,4.6
Боровичи,Новгородская область,-8.8,-7.7,-1.9,4.8,12.1,15.7,18,16.1,10.6,4.5,-0.8,-5.2,4.8
Великий Новгород,Новгородская область,-7.4,-6.9,-1.9,4.7,11.9,15.9,18.2,16.2,10.8,5,-0.5,-4.7,5.1
Барабинск,Новосибирская область,-18.5,-16.8,-8.7,2.6,11,17.1,19.1,15.9,9.8,2,-8.1,-15.3,0.8
Болотное,Новосибирская область,-17.6,-15.3,-7.1,2.2,10.2,16.6,18.9,15.6,9.4,1.7,-8.1,-14.7,1
Карасук,Новосибирская область,-18,-16.9,-8.8,4.1,12.8,18.9,20.5,17.6,11.3,3.2,-7.1,-14.6,1.9
Кочки,Новосибирская область,-18.2,-17,-9.1,2.7,11.4,17.4,19.2,16.2,10.1,2.4,-7.8,-15,1
Купино,Новосибирская область,-18,-16.9,-8.9,3.5,12,18,19.9,16.8,10.7,2.9,-7.4,-14.8,1.5
Кыштовка,Новосибирская область,-19.2,-17.2,-8.4,2,10.2,16.1,18.4,15,9,1.7,-8.3,-15.8,0.3
Новосибирск,Новосибирская область,-17.6,-15.8,-8,2.7,11,17.3,19.4,16.3,10.2,2.6,-7.3,-14.4,1.4
Татарск,Новосибирская область,-18.2,-16.4,-8,3.5,11.5,17.5,19.4,16.3,10.2,2.4,-7.6,-14.9,1.3
Чулым,Новосибирская область,-18.2,-16.8,-8.6,2.4,10.9,16.8,18.9,15.7,9.6,2.1,-7.9,-15,0.8
Исиль-Куль,Омская область,-17.4,-16.2,-8.3,3.7,12.1,17.8,19.3,16.4,10.5,2.8,-7.4,-14.3,1.6
Омск,Омская область,-17.6,-15.8,-7.6,4.1,12.1,17.9,19.4,16.5,10.6,2.8,-7.2,-14.3,1.7
Тара,Омская область,-18.7,-16.7,-7.7,2.6,10.3,16.7,18.6,15.3,9.3,1.7,-8.2,-15.5,0.6
Черлак,Омская область,-17.7,-16.5,-8.4,4.1,12.6,18.6,20.1,17.2,11.1,3.2,-7.2,-14.5,1.9
Кувандык,Оренбургская область,-14.3,-13.5,-6.2,5.8,14,18.6,20.5,18.6,12.2,4,-4,-11.1,3.7
Оренбург,Оренбургская область,-13,-12.4,-5.3,7.3,15.6,20.3,22.3,20.5,14.1,5.4,-2.9,-9.7,5.2
Сорочинск,Оренбургская область,-12.7,-12.1,-5.2,6.8,15.2,19.6,21.5,19.8,13.5,5,-2.8,-9.6,4.9
Орел,Орловская область,-7.9,-7.3,-1.6,7.1,14,17.3,19.1,17.9,12.1,5.9,-0.1,-5.2,6
Земетчино,Пензенская область,-9.5,-9.3,-3.6,6.7,14.4,17.9,19.8,18.1,12.2,5.1,-1.5,-6.8,5.3
Пенза,Пензенская область,-9.9,-9.6,-3.6,6.8,14.6,18.2,20.1,18.4,12.4,5.1,-1.7,-7.3,5.3
Бисер,Пермский край,-16.7,-14.6,-6.8,0.9,7.9,13.5,15.9,12.9,7.1,-0.5,-8.4,-13.9,-0.2
Ножовка,Пермский край,-13.7,-12.5,-4.9,3.8,11.6,16.7,18.9,16.3,10.5,3.2,-4.5,-10.7,2.9
Пермь,Пермский край,-13.9,-12.2,-4.5,3.7,10.8,15.9,18.2,15.4,9.7,2.3,-5.3,-11.2,2.4
Чердынь,Пермский край,-16.1,-13.8,-5.7,1.6,8.6,14.7,17.5,14,8.1,0.5,-7.3,-13.1,0.8
Агзу,Приморский край,-19.4,-15.1,-6.4,2.5,8.8,14.1,17.8,17.7,11.5,3.5,-7.4,-17.4,0.8
Анучино,Приморский край,-19.3,-14.3,-4.3,5.9,12.7,17.4,21.1,20.6,13.9,6,-4.7,-15.8,3.3
Астраханка,Приморский край,-16.5,-12.2,-3.5,5.3,12.3,17.2,20.8,21,15.2,7.1,-3.2,-13,4.2
Богополь,Приморский край,-12.5,-9.1,-2.4,4.5,9.6,13.6,17.7,19.4,14.2,7.2,-1.9,-10.2,4.2
Владивосток,Приморский край,-12.6,-9.1,-2,4.9,9.7,13.4,17.8,19.8,15.8,8.8,-0.9,-9.4,4.7
Дальнереченск,Приморский край,-19.2,-14.7,-5.2,5.6,12.9,17.9,21.3,20.4,14,5.6,-5.7,-16.2,3.1
Кировский,Приморский край,-19.5,-14.8,-4.8,6.1,13.2,18.2,21.6,20.9,14.6,6.3,-4.9,-15.8,3.4
Красный Яр,Приморский край,-22.6,-17.8,-7.4,3.7,11.3,16.9,20.6,19.2,12.3,3.4,-8.2,-19.6,1
Маргаритово,Приморский край,-12.7,-9.9,-3.2,4,9.1,13,17.6,19.2,14.1,7,-1.9,-10.1,3.9
Мельничное,Приморский край,-21.9,-17.2,-7.6,2.8,10.1,15.6,19.4,18.5,11.6,2.8,-8.4,-19.1,0.5
Партизанск,Приморский край,-12.4,-9,-2.1,5.9,11.6,15.6,19.5,20.3,14.9,7.8,-1.6,-10,5
Посьет,Приморский край,-9.6,-6.5,-0.4,6.1,11,14.8,19.2,21.2,16.9,9.8,0.7,-7,6.4
Преображение,Приморский край,-7.9,-5.7,-0.6,4.6,8.7,12.4,17.1,19.6,15.9,9.4,1.4,-5.5,5.8
Рудная Пристань,Приморский край,-10.9,-8.1,-1.9,3.7,8,11.6,16.3,18.7,14.7,7.6,-1.2,-8.8,4.1
Сосуново,Приморский край,-12.4,-10.2,-4.3,1.7,5.9,9.9,14.4,16.9,13.2,6.3,-2.8,-10.6,2.3
Чугуевка,Приморский край,-20.5,-15.6,-5.6,4.9,12,17,20.5,20,13.1,5,-6.1,-17.4,2.3
Великие Луки,Псковская область,-6.9,-6.3,-1.2,6,12.5,15.9,17.8,16.2,11.1,5.5,0.2,-4.2,5.5
Псков,Псковская область,-6.3,-6,-1.2,5.6,12.2,15.9,18.1,16.4,11.1,5.5,0.4,-3.7,5.7
Гигант,Ростовская область,-3.6,-2.9,2.7,11.1,16.9,21.2,24.1,23.4,17.4,10.1,3.6,-0.9,10.4
Миллерово,Ростовская область,-6.3,-5.6,0.1,9.4,16,19.9,21.9,21.2,15.1,7.8,1.3,-3.6,8.1
Ростов-на-Дону,Ростовская область,-3.8,-3,2.4,10.9,17.1,21.3,23.5,22.8,16.8,9.6,3.4,-1.2,10
Таганрог,Ростовская область,-3.4,-2.8,2.3,10.8,17.4,21.6,24,23.3,17.5,10.2,3.7,-0.9,10.3
Рязань,Рязанская область,-8.8,-8.2,-2.6,6.5,13.8,17.2,19.1,17.5,11.7,5,-1.4,-6.1,5.3
Самара,Самарская область,-11.1,-10.4,-3.7,7.2,15.3,19.2,21.3,19.5,13.4,5.4,-2.1,-8.3,5.5
Александров Гай,Саратовская область,-10,-9.9,-2.8,9.2,17,21.8,24.1,22.4,15.5,6.8,-0.7,-6.8,7.2
Балашов,Саратовская область,-8.9,-8.5,-2.8,7.8,15.3,19,20.9,19.7,13.5,6,-0.9,-6.2,6.2
Саратов,Саратовская область,-8.5,-8.6,-2.7,8.4,16.1,20,22.1,20.7,14.2,6.5,-0.8,-4.5,6.9
Алдан,Республика Саха (Якутия),-26.8,-24.3,-15.3,-4.4,5.2,13.7,16.5,13.3,4.9,-6.5,-18.9,-25.4,-5.6
Амга,Республика Саха (Якутия),-41.1,-37,-22.8,-5.6,7.4,15.5,18.3,14.3,5.5,-8.8,-29,-39.6,-10.2
Батамай,Республика Саха (Якутия),-41.1,-36.7,-23,-7.3,5.3,14.2,17.5,13.6,4.9,-9.8,-30,-39.5,-11
Бердигястях,Республика Саха (Якутия),-38.5,-33.5,-20.9,-6.3,5.9,14.3,17.1,12.9,4.1,-8.7,-27.3,-36.9,-9.8
Буяга,Республика Саха (Якутия),-36.6,-32.3,-20.5,-5.5,6.2,14.3,17.2,13.3,4.8,-7.5,-25.4,-34.8,-8.9
Верхоянск,Республика Саха (Якутия),-45.7,-42.6,-29.4,-11.8,3.7,13.4,16.1,11.6,2.5,-14.3,-35.2,-43.2,-14.6
Вилюйск,Республика Саха (Якутия),-36.3,-31.6,-18.8,-5.6,6,15.5,18.6,14.4,5.4,-7.5,-26.2,-34.6,-8.4
Витим,Республика Саха (Якутия),-28.9,-25.1,-14.2,-2.6,6.6,15.1,18.1,14.7,6.5,-3.4,-17.2,-26.5,-4.7
Джалинда,Республика Саха (Якутия),-38,-35.8,-25.9,-13.7,-2.2,9.5,14,9.8,1.6,-12.5,-29.8,-35.2,-13.2
Джарджан,Республика Саха (Якутия),-37.8,-34.5,-23.5,-11.4,0.3,10.9,15.1,11.1,3,-11.4,-29.4,-35.7,-11.9
Джикимда,Республика Саха (Якутия),-33.8,-29.3,-17.1,-3.3,7,14.8,17.6,14.1,5.8,-5.2,-21.7,-31.6,-6.9
Жиганск,Республика Саха (Якутия),-38,-34.3,-22.5,-9.8,2.1,12.5,16.2,12.1,3.6,-10.3,-29,-36.4,-11.1
Зырянка,Республика Саха (Якутия),-36,-33.4,-24.6,-11.2,3.7,13.4,16,12.1,4.3,-10.3,-26.8,-34.9,-10.6
Исить,Республика Саха (Якутия),-34.6,-31.1,-19.1,-4.8,6.5,14.7,17.9,14.6,6.3,-5.3,-23.2,-32.7,-7.6
Иэма,Республика Саха (Якутия),-44.3,-41.8,-30.7,-14.7,0.6,9.7,13.7,10.5,2.1,-14.3,-34.7,-42,-15.5
Крест-Хальджай,Республика Саха (Якутия),-43.4,-38,-21.8,-5.3,7.3,15.8,18.8,14.6,5.7,-9,-30.7,-41.9,-10.7
Кюсюр,Республика Саха (Якутия),-37.4,-34.8,-25.8,-14.4,-2.7,8.4,12.6,9.8,2.2,-11.5,-29.2,-35.1,-13.2
Ленск,Республика Саха (Якутия),-29.1,-25.4,-14.6,-3.3,6.4,14.8,17.7,14,5.8,-4.8,-19.3,-27.5,-5.4
Мирный,Республика Саха (Якутия),-31,-27.1,-16,-5.3,4.9,14.2,17.3,13.5,5,-6.8,-22.2,-29.3,-6.9
Нагорный,Республика Саха (Якутия),-28.8,-25.6,-16.9,-5.7,4.4,12.3,15,12,4.2,-7.8,-21.4,-28,-7.2
Нера,Республика Саха (Якутия),-45.7,-41.2,-27.6,-9.9,4.9,14.1,16.4,12.3,3.7,-13.3,-34.9,-44.7,-13.8
Нюрба,Республика Саха (Якутия),-35.2,-31.3,-19.4,-5.9,6,14.5,17.5,13.5,4.9,-7.4,-25.1,-33.2,-8.4
Оймякон,Республика Саха (Якутия),-46.2,-42.5,-31.2,-13.4,2.9,12.2,14.7,10.5,2.2,-14.9,-35.9,-45.4,-15.6
Олекминск,Республика Саха (Якутия),-31.3,-27.1,-15.3,-3.1,7.2,15.2,18.1,14.5,6,-5.1,-21,-29.7,-6
Оленек,Республика Саха (Якутия),-36.7,-33.5,-22.3,-11,-0.8,10.4,15,11,2.4,-11.2,-28.2,-33.7,-11.5
Охотский Перевоз,Республика Саха (Якутия),-42.5,-38.1,-23.5,-6.1,6.8,15.1,17.9,13.9,5.4,-8.7,-29.6,-40.6,-10.8
Сангар,Республика Саха (Якутия),-38.1,-33.4,-20.7,-6.8,5.3,14.8,18.4,14.5,5.4,-9,-27.8,-36.7,-9.5
Саскылах,Республика Саха (Якутия),-34.9,-34.4,-28,-18.3,-6.9,5.8,11.6,8.5,1.1,-12.9,-27.7,-32.3,-14
Среднеколымск,Республика Саха (Якутия),-35.7,-33.7,-25.7,-13.3,1.3,11.5,14.5,10.8,3.5,-10.4,-26.2,-34.1,-11.5
Сунтар,Республика Саха (Якутия),-32.6,-29,-17.4,-4.5,6.6,15.3,18.1,14.3,5.7,-5.9,-22.9,-30.9,-6.9
Сухана,Республика Саха (Якутия),-41.4,-38.1,-25.5,-11.7,0.5,11.3,15.2,10.6,2.4,-12,-31.4,-38.2,-13.2
Токо,Республика Саха (Якутия),-37.8,-33.1,-21.4,-7.3,4.3,12,14.8,11.4,3.8,-9.1,-26.9,-36.6,-10.5
Томмот,Республика Саха (Якутия),-34.8,-30.3,-18.6,-4.2,6.5,14.5,17.2,13.6,5.3,-6.6,-23.5,-32.8,-7.8
Томпо,Республика Саха (Якутия),-43.1,-38.6,-26.1,-10,4.4,13.3,16.1,11.9,3.2,-12.8,-33.4,-42,-13.1
Туой-Хая,Республика Саха (Якутия),-33.2,-29.3,-18.8,-6.4,4.3,13.3,16.5,13,5.4,-6.3,-23.6,-31.2,-8
Тяня,Республика Саха (Якутия),-32.8,-28.4,-17.2,-3.8,6.2,14.2,17.1,13.3,5,-6.1,-21.9,-31,-7.1
Усть-Мая,Республика Саха (Якутия),-40,-34.7,-19.7,-3.7,7.7,15.6,18.4,14.7,6.2,-7.3,-27.4,-38.6,-9.1
Усть-Миль,Республика Саха (Якутия),-38,-33.1,-19.9,-4,7.3,15,17.8,14.1,5.7,-7.2,-26.2,-36.6,-8.8
Усть-Мома,Республика Саха (Якутия),-42.8,-39.1,-27.5,-11.6,4.2,13.6,15.8,11.6,3.2,-13.6,-32.8,-41.4,-13.4
Чульман,Республика Саха (Якутия),-30.9,-26.1,-16,-4.9,4.7,13.2,16.1,13,4.6,-7.2,-21.3,-29.8,-7
Чурапча,Республика Саха (Якутия),-41.9,-36.8,-22.1,-5.7,7.2,15.6,18.7,14.4,5.2,-9.6,-30.1,-40.5,-10.5
Шелагонцы,Республика Саха (Якутия),-40.4,-36.9,-24.5,-11,1.4,11.7,15.1,10.5,2.4,-11.2,-30.3,-37.8,-12.6
Эйк,Республика Саха (Якутия),-36.7,-33.5,-22.8,-10.7,1.3,11.2,15.7,11.4,2.7,-10.8,-27.4,-34.2,-11.1
Якутск,Республика Саха (Якутия),-39.1,-34.6,-20.3,-4.7,7.5,16.2,19.3,15.2,5.9,-7.8,-27.8,-37.8,-9
Александровск-Сахалинский,Сахалинская область,-16.7,-14.8,-8,0.1,6,11.2,15.3,16.4,12.3,4.9,-4.4,-12.3,0.8
Долинск,Сахалинская область,-13.2,-12.5,-5.9,1.5,6.8,11.5,15.6,17.1,13.2,6.5,-1.5,-8.8,2.5
Корсаков,Сахалинская область,-10.1,-9.7,-4.5,1.6,6.2,10.7,15,16.9,14,7.8,0.4,-6.1,3.5
Курильск,Сахалинская область,-4.5,-5.9,-3.4,1.6,6,9.6,13.5,15.9,13.7,9.3,3.7,-1.3,4.8
Макаров,Сахалинская область,-13.3,-12,-6.1,0.8,5.3,10,14.1,16.1,12.9,6.1,-2.7,-9.9,1.8
Невельск,Сахалинская область,-7.9,-7.4,-3.1,2.6,7.3,11.5,15.8,17.6,14.7,8.4,0.8,-4.9,4.6
Ноглики,Сахалинская область,-17.7,-15.8,-9.4,-1.6,3.7,9.5,13.3,14.6,10.9,3.3,-7,-14.9,-0.9
Оха,Сахалинская область,-18.3,-17.5,-11.6,-3.2,2.6,9.9,13.8,14.6,10.4,2.8,-6.4,-13.8,-1.4
Погиби,Сахалинская область,-19.4,-18.3,-11.9,-3.2,2.6,9.9,14.3,15.7,12,3.9,-7,-15.7,-1.4
Поронайск,Сахалинская область,-15.9,-13.8,-7.1,0.1,4.8,9.5,13.8,15.7,12.2,5.1,-4.4,-12.8,0.6
Холмск,Сахалинская область,-8.5,-8.1,-3.4,2.7,7.5,11.9,16.1,17.8,14.7,8.3,0.5,-5.4,4.5
Южно-Курильск,Сахалинская область,-4.4,-5.4,-2.5,1.7,5.3,8.6,12.5,15.8,14.9,10.7,4.6,-1,5.1
Южно-Сахалинск,Сахалинская область,-12.6,-11.8,-5.7,1.7,7.1,11.6,15.7,17.1,13.1,6.3,-1.6,-8.6,2.7
Верхотурье,Свердловская область,-16.4,-14.2,-5.1,3.1,9.7,15.4,17.7,14.6,8.8,1.5,-7.3,-13.4,1.2
Екатеринбург,Свердловская область,-13.8,-11.7,-4.1,4.5,11.4,16.6,18.6,15.8,10,2.5,-5.5,-11.2,2.8
Ивдель,Свердловская область,-19.2,-16.2,-6.3,1.5,8.2,14.5,17.3,13.8,7.8,0.3,-9.2,-15.8,-0.3
Каменск-Уральский,Свердловская область,-15.1,-13.4,-5.3,4.5,11.6,16.8,18.6,15.7,10,2.8,-5.9,-12.4,2.3
Туринск,Свердловская область,-16.6,-14.4,-5.7,3.4,10.6,16.1,18.3,15.2,9.3,1.8,-7.2,-13.6,1.4
Шамары,Свердловская область,-15.4,-13.6,-5.3,3.1,10.4,15.7,17.7,14.7,9.1,1.8,-6.2,-12.6,1.6
Владикавказ,Республика Северная Осетия  Алания,-2,-1.5,3.3,9.8,14.5,18.3,20.8,20.4,15.8,9.8,3.7,-0.6,9.4
Вязьма,Смоленская область,-8.3,-7.6,-2.2,5.6,12.3,15.7,17.5,15.9,10.5,4.6,-1.3,-5.8,4.7
Смоленск,Смоленская область,-7.5,-6.7,-1.7,6.1,12.6,15.8,17.6,16.3,10.9,5,-0.6,-4.9,5.3
Арзгир,Ставропольский край,-3.3,-2.8,2.9,11.1,17.5,22.3,25.2,24.2,18.3,10.7,4.2,-0.5,10.8
Кисловодск,Ставропольский край,-2.5,-1.9,1.9,8.2,12.7,16,18.6,18.3,14,8.6,3.4,-0.7,8.1
Минеральные Воды,Ставропольский край,-3.3,-2.6,2.8,10.3,15.6,19.7,22.7,22.1,16.9,10,3.8,-1.1,9.8
Невинномысск,Ставропольский край,-3.1,-2.2,3.1,10.4,15.7,19.6,22.5,22,16.9,10.1,3.9,-0.9,9.8
Ставрополь,Ставропольский край,-2.9,-2.3,2.3,9.9,15.3,19.3,22.3,21.7,16.4,9.8,3.8,-0.5,9.6
Тамбов,Тамбовская область,-8.8,-8.3,-2.6,7.5,14.9,18.3,20.2,18.7,12.7,5.6,-1,-6.1,5.9
Бугульма,Республика Татарстан (Татарстан),-12.8,-11.8,-5.5,4.5,12.9,16.9,18.8,16.9,11.1,3.2,-4.3,-10.1,3.3
Елабуга,Республика Татарстан (Татарстан),-12.5,-11.5,-4.2,5.3,13.4,17.9,20,17.6,11.6,4,-3.3,-9.7,4
Казань,Республика Татарстан (Татарстан),-11.6,-10.7,-4.2,5.4,13.6,17.8,20,17.9,11.8,4.3,-2.9,-8.6,4.4
Бежецк,Тверская область,-10.7,-9.2,-3.5,4.2,11.9,15.7,17.6,15.6,10,3.8,-1.6,-6.8,3.9
Старица,Тверская область,-8.7,-7.9,-2.3,5.3,12,15.6,17.6,15.8,10.3,4.5,-1.3,-5.9,4.6
Тверь,Тверская область,-8.8,-8,-2.1,5.5,12.4,16.2,18.4,16.4,10.6,4.6,-1.4,-6,4.8
Александровское,Томская область,-21.4,-19,-9.6,-1.6,6.1,14.8,18,14.1,7.7,-0.8,-11.6,-18.1,-1.8
Колпашево,Томская область,-20.2,-17.5,-8.5,0.1,7.8,15.7,18.4,14.7,8.3,0.3,-10.2,-17.1,-0.7
Средний Васюган,Томская область,-20.1,-17.4,-8,0.2,7.7,15.6,18.4,14.5,8.3,0.1,-10.5,-17,-0.7
Томск,Томская область,-18.1,-15.7,-7.3,1.7,9.6,16.2,18.7,15.4,9.1,1.4,-8.5,-15.2,0.6
Усть-Озерное,Томская область,-21.1,-18.1,-8.9,-0.4,7.1,15.6,18.5,14.4,7.7,-0.7,-11.7,-18.3,-1.3
Тула,Тульская область,-8,-7.5,-2.1,6.6,13.8,17.1,19,17.4,11.6,5.4,-1,-5.6,5.6
Кызыл,Республика Тыва,-29.4,-24.3,-10.6,4.7,12.2,18.5,20.3,17.5,10.3,0.9,-13.2,-25.7,-1.6
Демьянское,Тюменская область,-18.9,-16.7,-7.4,0.7,8.3,15.3,18,14.3,8.4,0.6,-9.4,-15.9,-0.2
Тобольск,Тюменская область,-18.4,-16.3,-7.2,2.3,9.9,16.3,18.5,15.1,9.1,1.5,-8.1,-15.2,0.6
Тюмень,Тюменская область,-16.3,-14,-5.6,4,11.1,16.6,18.5,15.6,9.7,2.2,-6.8,-13.4,1.8
Глазов,Удмуртская Республика,-14.3,-12.9,-5.6,2.9,10.8,15.7,17.9,15.2,9.4,2.2,-5.2,-11.2,2.1
Ижевск,Удмуртская Республика,-13.5,-12.2,-5.1,3.9,12,16.6,18.7,16.2,10.3,2.7,-4.6,-10.7,2.9
Сарапул,Удмуртская Республика,-13.2,-12,-5,4.3,12.5,17.2,19.3,16.8,10.8,3.2,-4.3,-10.4,3.3
Сурское,Ульяновская область,-10.9,-10.6,-4.1,6.1,13.7,17.4,19.5,17.5,11.7,4.6,-2.1,-7.8,4.6
Ульяновск,Ульяновская область,-10.6,-10.8,-4.5,5.9,13.9,18.1,20,18,12.2,4.6,-2.6,-8.1,4.7
Аян,Хабаровский край,-18,-16.4,-10.2,-3.3,1.9,7.5,12.2,13.6,9.4,0.6,-10.3,-16.1,-2.4
Байдуков,Хабаровский край,-20,-19.2,-13.4,-4.4,2.1,11,15,15.8,11.8,3.7,-7,-15.8,-1.7
Бикин,Хабаровский край,-20.6,-15.9,-5.7,5.4,12.8,18.2,21.6,20.3,13.7,5.3,-6.3,-17.5,2.6
Вяземский,Хабаровский край,-19.8,-15.5,-6.1,5,12.7,18.2,21.5,20,13.6,5.2,-6.6,-17,2.6
